1,Cavalier,0,20,5,2,5,0,6,0,9,75,35,40,25,30,15,15,2,2,0,0,0,0,0,0
2,Knight,0,17,5,2,0,0,9,0,13,80,40,30,15,25,30,20,0,31,0,0,0,0,0,0
3,Mercenary,0,18,4,8,8,0,4,0,9,80,40,40,32,30,20,20,31,0,0,0,0,0,0,0
4,Myrmidon,0,16,4,9,9,0,2,0,8,70,35,40,40,30,15,20,31,0,0,0,0,0,0,0
5,Thief,0,16,3,1,9,0,2,0,6,50,5,45,40,40,5,20,31,0,0,0,0,0,0,0
6,Archer,0,18,4,3,3,0,3,0,7,70,35,40,35,35,15,15,0,0,0,31,0,0,0,0
7,Nomad,0,20,5,2,7,0,2,0,7,75,40,35,40,30,10,15,0,0,0,31,0,0,0,0
8,Mage,0,16,1,2,3,0,3,3,5,55,55,40,35,20,5,30,0,0,0,0,31,0,0,0
9,Monk,0,18,1,1,2,0,1,5,6,50,30,35,32,45,8,40,0,0,0,0,0,31,0,0
10,Shaman,0,16,2,1,2,0,2,4,7,50,50,32,30,20,10,30,0,0,0,0,0,0,31,0
11,Pegasus,0,14,4,5,5,0,3,2,5,65,35,40,40,35,12,35,0,31,0,0,0,0,0,0
12,Wyvern,0,20,7,3,5,0,8,0,10,65,35,30,30,25,15,17,0,31,0,0,0,0,0,0
13,Fighter,0,20,5,2,4,0,2,0,11,85,55,35,30,15,15,15,0,0,31,0,0,0,0,0
14,Brigand,0,20,5,1,5,0,3,0,12,82,50,30,20,15,10,13,0,0,31,0,0,0,0,0
